,Unnamed: 0,zpid,rentZestimate,zestimate,livingArea,bathrooms,bedrooms,yearBuilt,address,city,state,zip,latitude,longitude,square_footage,price_y,census_county_name,beds,baths_full,year_built,propertyTaxRate,pricePerSquareFoot,propertyTypeDimension,taxAnnualAmount,dateSold,pageViewCount,hasAttachedProperty,poolFeatures,flooring,hasGarage,parking,hasWaterfrontView,lotSize,appliances,communityFeatures,propertyCondition,sch_rating_avg,sch_cnt,sch_dist_avg,Individuals_taxed,Income_per_return,Cap_gain,Pension,UE_claims,Social_security,SB_income,Student_loan_ded,RE_taxes,PP_taxes,Child_credit,Earned_Inc_credit,NOI,Expenses,cap_rate,total_appliances,total_community_feat,sch_rating_zip_avg,sch_parentrating_zip_avg,sch_public_no,sch_charter_no,sch_private_no
10,20,223789495,2199.0,438600.0,2045.0,2.0,4.0,2022.0,105 Pinehurst Road,Kingsland,Georgia,31548,30.802784,-81.616331,2045,420785,"Camden, GA",4,2.0,2022.0,0.98,200.0,Single Family,4298.28,5/16/22,0.0,False,,"['Carpet', 'Ceramic Tile', 'Tile', 'Vinyl']",True,2.0,True,0.29 Acres,"['Some Electric Appliances', 'Dishwasher', 'Disposal', 'Microwave', 'Oven', 'Plumbed For Ice Maker', 'Range', 'Refrigerator', 'Self Cleaning Oven']",,Under Construction,8.0,3.0,3.1,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,26388.0,9575.88,0.0399541808762194,9.0,,7.2,3.888888888888889,5.0,0.0,10.0
11,22,223789493,1999.0,364400.0,1828.0,2.0,3.0,2022.0,113 Pinehurst Road,Kingsland,Georgia,31548,30.801894,-81.616533,1828,385600,"Camden, GA",3,2.0,2022.0,0.98,197.0,Single Family,3571.12,9/7/22,26.0,False,,"['Tile', 'Carpet', 'Other']",True,0.0,,0.29 Acres,"['Electric Water Heater', 'Dishwasher', 'Disposal', 'Microwave', 'Oven/Range (Combo)', 'Refrigerator', 'Stainless Steel Appliance(s)']","['Sidewalks', 'Street Lights']",New Construction,8.0,3.0,2.5,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,23988.0,8368.720000000001,0.0405064315352697,7.0,2.0,7.2,3.888888888888889,5.0,0.0,10.0
12,24,111243602,1957.0,306500.0,1993.0,3.0,3.0,1940.0,805 Georgia Avenue,Woodbine,Georgia,31569,30.962536,-81.718704,1993,320000,"Camden, GA",3,2.0,1940.0,0.98,146.0,Single Family,3003.7,6/3/22,5.0,False,['None'],"['Tile', 'Wood']",False,1.0,,1.95 Acres,"['Some Electric Appliances', 'Dishwasher', 'Oven', 'Range', 'Refrigerator']",['Shopping'],Updated/Remodeled,7.333333333333333,3.0,7.466666666666666,4720.0,60.54672489,6.444,30.13278689,0.0,13.68157895,35.2625,1.05,3.466666667,0.569230769,2.120895522,2.685416667,23484.0,7700.5,0.0493234375,5.0,1.0,6.0,3.5,2.0,0.0,0.0
13,26,76376376,1999.0,550488.91,2448.0,3.0,3.0,1991.0,363 Confederate Point Drive,White Oak,Georgia,31568,31.049948,-81.691544,2448,579500,"Camden, GA",3,3.0,1991.0,0.98,217.0,Single Family,5394.791318,6/17/22,7.0,False,,,True,4.0,True,1 Acres,"['Dishwasher', 'Microwave', 'Range', 'Refrigerator', 'Water Softener']",,,7.333333333333333,3.0,12.166666666666666,840.0,57.7547619,4.533333333,25.05454545,0.0,14.62857143,0.0,1.266666667,2.625,0.566666667,1.891666667,2.577777778,23988.0,10192.391318,0.0238060546712683,5.0,,,,,,
14,28,111246519,3450.0,553500.0,4698.0,5.0,6.0,2002.0,561 Henrietta Street,Kingsland,Georgia,31548,30.802175,-81.698835,4698,595000,"Camden, GA",6,4.0,2002.0,0.98,112.0,Single Family,5424.3,6/10/22,12.0,False,['None'],"['Carpet', 'Hardwood', 'Tile']",True,2.0,,3 Acres,"['Some Electric Appliances', 'Cooktop', 'Double Oven', 'Dryer', 'Dishwasher', 'Disposal', 'Microwave', 'Refrigerator', 'Washer']",['Shopping'],,7.333333333333333,3.0,2.6666666666666665,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,41400.0,13704.3,0.0465473949579831,9.0,1.0,7.2,3.888888888888889,5.0,0.0,10.0
15,30,91033454,3084.22,501040.22,2784.0,2.0,3.0,2004.0,198 Tower Road,White Oak,Georgia,31568,31.074697,-81.729099,2784,549900,"Camden, GA",3,2.0,2004.0,0.98,185.0,Single Family,4910.194156,3/17/04,707.0,False,,"['Carpet', 'Hardwood', 'Tile']",True,6.0,,3.38 Acres,"['Convection Oven', 'Cooktop', 'Dishwasher', 'Microwave', 'Refrigerator']",,,7.333333333333333,3.0,14.1,840.0,57.7547619,4.533333333,25.05454545,0.0,14.62857143,0.0,1.266666667,2.625,0.566666667,1.891666667,2.577777778,37010.64,12312.322156,0.0449141986615748,5.0,,,,,,
16,32,2067641332,2350.0,363069.4,3000.0,3.0,4.0,2022.0,97 Amanda Trace,Kingsland,Georgia,31548,30.817754,-81.626898,3000,499900,"Camden, GA",4,3.0,2022.0,0.98,167.0,Single Family,3558.08012,5/25/22,2.0,False,,"['Carpet', 'Tile']",True,2.0,,,"['Dishwasher', 'Disposal', 'Electric Water Heater', 'Microwave', 'Oven/Range (Combo)', 'Stainless Steel Appliance(s)']","['Gated', 'Golf', 'Lake', 'Park', 'Fitness Center', 'Playground', 'Pool', 'Sidewalks', 'Street Lights']",New Construction,8.0,3.0,2.8666666666666667,20160.0,53.06851852,6.5,25.87981651,3.546153846,12.72831858,36.89565217,1.067021277,3.122857143,0.676744186,2.125742574,2.585462555,28200.0,9198.08012,0.0380114420484096,6.0,9.0,7.2,3.888888888888889,5.0,0.0,10.0
17,34,76375931,2799.0,392000.0,2044.0,3.0,3.0,1970.0,105 E Stable Alley,Saint Marys,Georgia,31558,30.721001,-81.547424,2044,386250,"Camden, GA",3,2.0,1970.0,0.98,182.0,Single Family,3841.6,6/3/22,11.0,False,['None'],"['Carpet', 'Hardwood', 'Tile']",True,1.0,,,"['Built-In Oven', 'Cooktop', 'Dryer', 'Dishwasher', 'Microwave', 'Refrigerator', 'Washer']","['Shopping', 'Sidewalks', 'Walk to School']",,8.0,3.0,3.8666666666666663,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,33588.0,10559.2,0.0596214886731391,7.0,3.0,6.8,3.25,5.0,0.0,3.0
18,36,76375286,2799.0,395500.0,2334.0,2.0,4.0,1968.0,311 Borrell Boulevard,Saint Marys,Georgia,31558,30.739555,-81.561028,2534,400000,"Camden, GA",4,4.0,1964.0,0.98,169.0,Single Family,3875.9,4/26/17,4.0,False,,"['Tile', 'Hardwood']",False,3.0,,0.57 Acres,"['Dishwasher', 'Garbage disposal', 'Range / Oven', 'Refrigerator']",,,8.0,3.0,3.2,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,33588.0,10593.5,0.05748625,4.0,,6.8,3.25,5.0,0.0,3.0
19,38,2067065689,2169.97,429608.18,1679.0,3.0,3.0,2021.0,103 Placid Road,St. Marys,Georgia,31558,30.756682,-81.516173,1679,399900,"Camden, GA",3,2.0,2021.0,0.98,244.0,Single Family,4210.160164,8/5/22,4.0,False,,"['Carpet', 'Other']",True,0.0,,"7,405 sqft","['Electric Water Heater', 'Dishwasher', 'Disposal', 'Ice Maker', 'Oven/Range (Combo)', 'Refrigerator', 'Stainless Steel Appliance(s)']","['Boat/Camper/Van Prkg', 'Clubhouse', 'Gated', 'Lake', 'Park', 'Fitness Center', 'Playground', 'Pool', 'Sidewalks', 'Street Lights', 'Tennis Court(s)', 'Shared Dock']",New Construction,8.0,3.0,5.0,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,26039.64,9418.088164,0.0415642706576644,7.0,12.0,6.8,3.25,5.0,0.0,3.0
20,40,2079010203,3740.0,661395.77,2284.0,2.0,3.0,2022.0,287 Osprey Circle,St. Marys,Georgia,31558,30.744881,-81.63035,2100,649900,"Camden, GA",3,2.0,2022.0,0.98,290.0,Single Family,6481.678545999999,5/28/21,36.0,False,,"['Hardwood', 'Tile']",True,0.0,True,0.64 Acres,"['Tankless Water Heater', 'Gas Water Heater', 'Dishwasher', 'Ice Maker', 'Microwave', 'Oven', 'Refrigerator']","['Boat/Camper/Van Prkg', 'Clubhouse', 'Gated', 'Golf', 'Lake', 'Park', 'Fitness Center', 'Playground', 'Pool', 'Sidewalks', 'Street Lights', 'Tennis Court(s)']",Under Construction,7.666666666666667,3.0,3.733333333333333,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,44880.0,15457.678546,0.0452720748638252,7.0,12.0,6.8,3.25,5.0,0.0,3.0
21,42,2067508761,2600.0,421900.0,2492.0,4.0,4.0,2022.0,215 Holm Place #501,St. Marys,Georgia,31558,30.757411,-81.60086,2492,450990,"Camden, GA",4,4.0,2021.0,0.98,169.0,Single Family,4134.62,,3.0,False,,,False,2.0,,,,,,7.666666666666667,3.0,2.6,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,31200.0,10374.62,0.0461770327501718,,,6.8,3.25,5.0,0.0,3.0
22,44,2067577492,2358.0,398000.0,2115.0,2.0,4.0,2021.0,211 Holm Place #499,St. Marys,Georgia,31558,30.757506,-81.601066,2115,413990,"Camden, GA",4,2.0,2021.0,0.98,188.0,Single Family,3900.4,,21.0,False,,"['Tile', 'Carpet']",True,3.0,,0.26 Acres,"['Dishwasher', 'Disposal', 'Oven/Range (Combo)']","['Clubhouse', 'Gated', 'Golf', 'Marina', 'Park', 'Fitness Center', 'Pool']",Under Construction,7.666666666666667,3.0,2.6,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,28296.0,9559.6,0.0452580980216913,3.0,7.0,6.8,3.25,5.0,0.0,3.0
23,46,2067577863,2658.0,421143.79,2492.0,4.0,4.0,2021.0,103 Holm Place #485,St. Marys,Georgia,31558,30.758197,-81.603066,2492,442990,"Camden, GA",4,4.0,2021.0,0.98,165.0,Single Family,4127.209142,8/30/22,12.0,False,,"['Tile', 'Carpet']",True,2.0,,"8,276 sqft","['Dishwasher', 'Disposal', 'Oven/Range (Combo)']","['Clubhouse', 'Gated', 'Golf', 'Marina', 'Park', 'Fitness Center', 'Pool']",Under Construction,7.666666666666667,3.0,2.5,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,31896.0,10506.409142,0.0482845907537416,3.0,7.0,6.8,3.25,5.0,0.0,3.0
24,48,2068633888,2228.0,385900.0,1862.0,2.0,4.0,2021.0,114 Chinquapin Drive #521,St. Marys,Georgia,31558,30.756029,-81.60349,1862,374990,"Camden, GA",4,2.0,2021.0,0.98,196.0,Single Family,3781.82,6/10/22,4.0,False,,"['Tile', 'Carpet']",True,2.0,,0.32 Acres,"['Dishwasher', 'Disposal', 'Oven/Range (Combo)']","['Clubhouse', 'Gated', 'Golf', 'Marina', 'Park', 'Fitness Center', 'Pool']",Under Construction,7.666666666666667,3.0,2.6,18840.0,60.26688242,17.27413793,29.57563025,3.477777778,17.10849673,46.67096774,1.004819277,4.105555556,0.758536585,2.175097276,2.555497382,26736.0,9129.02,0.0469531987519667,3.0,7.0,6.8,3.25,5.0,0.0,3.0
25,50,236054834,2930.0,471100.0,2400.0,3.0,4.0,2009.0,967 St Marys River,St. George,Georgia,31562,30.361079,-82.154864,2400,439900,"Charlton, GA",4,2.0,2009.0,0.97,188.0,Single Family,4569.67,5/16/22,9.0,False,,,False,3.0,True,1.17 Acres,,,,4.5,2.0,30.75,1370.0,43.45,5.6,23.15833333,0.0,12.14444444,0.0,0.6,0.0,0.0,2.0,2.86875,35160.0,11601.67,0.0535538304160036,,,,,,,
26,52,2082820606,1364.0,187626.0,1493.13,0.12,0.93,1959.21,1195 Lake Deborah Drive,Folkston,Georgia,31537,30.853403,-82.002285,2304,498900,"Charlton, GA",4,3.0,2022.0,0.97,,Lot,1819.9722,8/12/22,6.0,False,,,False,0.0,True,4.23 Acres,,"['Gated', 'Street Lights']",,4.5,2.0,3.3,6370.0,45.24807692,16.14444444,26.22,3.22,13.27272727,13.16,0.995,2.907692308,0.857142857,1.794318182,2.769387755,16368.0,5093.5722000000005,0.0225985724594107,,2.0,5.8,1.5,5.0,0.0,3.0
27,54,2107740408,2026.0,374300.0,2364.0,2.0,3.0,1977.0,343 The Hill Road,Folkston,Georgia,31537,30.797131,-82.029647,3156,375000,"Charlton, GA",4,3.0,1977.0,0.97,158.0,Single Family,3630.71,,0.0,False,,,False,0.0,,0.76 Acres,,,,4.5,2.0,2.55,6370.0,45.24807692,16.14444444,26.22,3.22,13.27272727,13.16,0.995,2.907692308,0.857142857,1.794318182,2.769387755,24312.0,8493.11,0.0421837066666666,,,5.8,1.5,5.0,0.0,3.0
28,56,105177683,3213.0,320300.0,3673.0,5.0,7.0,1955.0,3400 Main Street,Folkston,Georgia,31537,30.829058,-82.01515,3673,449500,"Charlton, GA",7,4.0,1955.0,0.97,87.0,Single Family,3106.91,,20.0,False,,"['Softwood', 'Tile', 'Carpet', 'Concrete', 'Hardwood']",False,6.0,,1 Acres,"['Dishwasher', 'Dryer', 'Freezer', 'Garbage disposal', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,4.5,2.0,1.1,6370.0,45.24807692,16.14444444,26.22,3.22,13.27272727,13.16,0.995,2.907692308,0.857142857,1.794318182,2.769387755,38556.0,10818.11,0.061708320355951,8.0,,5.8,1.5,5.0,0.0,3.0
29,58,105206969,3601.0,572800.0,2042.0,3.0,4.0,1975.0,1186 Colquitt Highway,Bainbridge,Georgia,39817,30.962196,-84.611687,2042,475000,"Decatur, GA",4,3.0,1975.0,0.92,277.0,Single Family,5269.76,8/10/22,17.0,False,,"['Parquet', 'Tile']",True,0.0,,9.71 Acres,"['Dishwasher', 'Ice Maker', 'Oven', 'Range', 'Refrigerator']",,,4.0,3.0,3.35,7990.0,37.2604534,24.685,19.19230769,2.4,11.31666667,30.04,1.09047619,2.523529412,0.6,1.384955752,3.099386503,43212.0,13912.16,0.0616838736842105,5.0,,4.333333333333333,4.666666666666667,3.0,0.0,0.0
30,60,105271850,2021.61,329767.71,2500.0,3.0,4.0,1970.0,1484 15th Avenue NW,Cairo,Georgia,39828,30.895722,-84.225961,2500,345000,"Grady, GA",4,2.0,1970.0,0.94,126.0,Single Family,3099.816474,11/16/12,470.0,False,,"['Hardwood', 'Other', 'Tile']",True,0.0,,0.85 Acres,"['Cooktop', 'Dishwasher', 'Ice Maker', 'Microwave', 'Oven', 'Refrigerator', 'Stove']",['Street Lights'],,3.333333333333333,3.0,1.5333333333333334,11600.0,44.75897887,12.6952381,25.02234043,2.05,13.67594937,44.14090909,1.113793103,3.317857143,0.388235294,1.482080925,2.840983607,24259.32,7951.680474000001,0.0472685203652173,7.0,1.0,3.2,4.75,4.0,1.0,0.0
31,62,217697286,2369.0,381700.0,2195.0,3.0,4.0,2014.0,4689 Rudy Way,Hahira,Georgia,31632,30.920747,-83.337669,2195,365000,"Lowndes, GA",4,3.0,2014.0,0.9,166.0,Single Family,3435.3,5/31/22,9.0,False,,"['Tile', 'Carpet']",True,2.0,,0.27 Acres,"['Dishwasher', 'Microwave', 'Oven/Range (Combo)', 'Refrigerator']","['Clubhouse', 'Park', 'Playground', 'Pool', 'Sidewalks', 'Walk To Schools']",Resale,6.666666666666667,3.0,5.366666666666667,12280.0,66.72790698,12.81142857,26.8447619,2.5,14.42714286,73.28611111,1.121428571,2.973076923,0.74137931,2.304545455,2.710344828,28428.0,9120.9,0.0528961643835616,4.0,6.0,7.5,3.0,2.0,0.0,3.0
32,64,2065163939,2418.61,389039.75,2375.0,3.0,4.0,2022.0,600 4h Club Road,Lake Park,Georgia,31636,30.691843,-83.194106,2375,379900,"Lowndes, GA",4,3.0,2022.0,0.9,160.0,Single Family,3501.35775,7/6/22,8.0,False,,['Tile'],True,0.0,,0.39 Acres,"['Dishwasher', 'Oven/Range (Combo)', 'Refrigerator']","['Playground', 'Pool']",New Construction,6.333333333333333,3.0,6.933333333333334,8660.0,56.31032864,17.70851064,29.11511628,2.6,14.21666667,57.85652174,1.060869565,2.8,0.627777778,1.995901639,2.720588235,29023.32,9306.02175,0.0519012852066333,3.0,2.0,5.0,4.0,1.0,0.0,3.0
33,66,76487101,2686.0,409800.0,2852.0,3.0,3.0,1960.0,609 Howell Brook Drive,Valdosta,Georgia,31602,30.861435,-83.299438,2852,425000,"Lowndes, GA",3,3.0,1960.0,0.9,142.0,Single Family,3688.2,8/30/22,37.0,False,,['Carpet'],False,2.0,,0.50 Acres,,,,4.666666666666667,3.0,1.5666666666666669,26040.0,53.89135365,23.6056962,28.76502058,2.8375,15.65568182,82.97333333,1.125925926,3.50625,0.810714286,1.656456456,2.879376499,32232.0,10134.6,0.0519938823529411,,,4.0,3.0,7.0,1.0,9.0
34,68,217673402,3009.0,481600.0,4582.0,6.0,5.0,1932.0,1501 Slater Street,Valdosta,Georgia,31602,30.849123,-83.28524,4582,595000,"Lowndes, GA",5,4.0,1932.0,0.9,105.0,Single Family,4334.4,,35.0,False,,['Hardwood'],False,0.0,,0.29 Acres,,,,4.666666666666667,3.0,1.5333333333333332,26040.0,53.89135365,23.6056962,28.76502058,2.8375,15.65568182,82.97333333,1.125925926,3.50625,0.810714286,1.656456456,2.879376499,36108.0,11556.0,0.0412638655462184,,,4.0,3.0,7.0,1.0,9.0
35,70,76506921,2362.0,380600.0,3809.0,5.0,4.0,1995.0,4420 Corinth Church Road,Lake Park,Georgia,31636,30.709129,-83.21521,3729,419900,"Lowndes, GA",4,4.0,1995.0,0.9,96.0,Single Family,3425.4,6/15/22,6.0,False,,"['Tile', 'Other', 'Concrete', 'Linoleum / Vinyl']",False,2.0,,5 Acres,"['Dishwasher', 'Garbage disposal', 'Range / Oven', 'Refrigerator']",,,6.333333333333333,3.0,6.266666666666666,8660.0,56.31032864,17.70851064,29.11511628,2.6,14.21666667,57.85652174,1.060869565,2.8,0.627777778,1.995901639,2.720588235,28344.0,9094.2,0.0458437723267444,4.0,,5.0,4.0,1.0,0.0,3.0
36,72,2100625722,2013.0,311600.0,3058.0,2.0,3.0,1983.0,203 Jackson Circle,Lake Park,Georgia,31636,30.689859,-83.19749,3059,629900,"Lowndes, GA",3,2.0,1983.0,0.9,102.0,Single Family,2804.4,,2.0,False,,,False,0.0,,0.48 Acres,,,,6.333333333333333,3.0,6.866666666666667,8660.0,56.31032864,17.70851064,29.11511628,2.6,14.21666667,57.85652174,1.060869565,2.8,0.627777778,1.995901639,2.720588235,24156.0,7635.6,0.0262270201619304,,,5.0,4.0,1.0,0.0,3.0
37,74,97469353,2093.0,332300.0,1560.0,2.0,3.0,2014.0,102 Forest Meadows Court,Thomasville,Georgia,31792,30.84143,-83.963561,1560,324999,"Thomas, GA",3,2.0,2014.0,0.99,202.0,Single Family,3289.77,5/2/22,6.0,False,,"['Hardwood', 'Tile', 'Carpet']",True,0.0,,"7,840 sqft","['Dishwasher', 'Disposal', 'Microwave', 'Oven/Range (Combo)', 'Refrigerator', 'Stainless Steel Appliance(s)']","['Sidewalks', 'Street Lights']",Resale,4.333333333333333,3.0,0.5666666666666667,18590.0,61.70292276,17.94193548,29.09647059,2.363636364,15.42361111,81.4,1.115,4.28625,0.469230769,1.634749035,2.883445946,25116.0,8312.970000000001,0.051701789851661,6.0,2.0,4.111111111111111,4.388888888888889,9.0,2.0,13.0
